WellName_,APINo,OtherID,OtherName,Operator,SpudDate,EndedDrill,WellType,Status,StatusDate,Field,State,PLSS_Merid,TWP,RGE,Section,SectionPar,LatDegree,LongDegree,SRS,LocationUn,DrillerTot_ft,DrillerTot_m,DepthRefer,Shape_1,TrueVertic_ft,TrueVertic_m,ElevationK_ft,ElevationK_m,ElevationG_ft,ElevationG_m,BitDiamete,BitDiame_1,DiameterUn,MaximumRecTemp_F,MaximumRecTemp_C,Measuremen,DepthOfMea_ft,DepthOfMea_m,Measurem_1,CasingLogg,DrillingFl,Salinity,Density,pH,Viscosity,FluidLoss,Well_Label,County,QUAD100K,QUAD24K
76-15 TCH,,,GW-175,CE Exploration,7/24/1995,11/22/1995,"GeothermalEnergy, exploration",Abandoned plugged,11/22/1995,Newberry KGRA,OR,Willamette,021S,012E,15,,43.754006,-121.273449,EPSG: 4326,"Locations are at least within a quarter/quarter/quarter of a section or 10 acres of a standard square mile. Locations have not been field checked.  Often, locations directly scribed from a map provided by the permit applicant",5360,1634,KB,vertical,5328.7,1624,6790,2070,6780,2067,10.75,4.5,in,260,127,"Rig Boart-Longyear 602, cable, rotary",5360,1634,Temperature Survey,,"Mud, air",,,,,,GW,Deschutes,La PINE,Lava Cast Forest
82-9,,,GP-092,Union Oil Company,,,Temperature,Abandoned plugged,,West Cascades,OR,Willamette,022S,013E,4,,43.692628,-121.188529,EPSG: 4326,"Locations are at least within a quarter/quarter/quarter of a section or 10 acres of a standard square mile. Locations have not been field checked.  Often, locations directly scribed from a map provided by the permit applicant",2000,610,,vertical,,,,,,,,,,,,,,,,,,,,,,,GP,Deschutes,La PINE,East Lake
82-10,,,GP-092,Union Oil Company,,,Temperature,Abandoned plugged,,West Cascades,OR,Willamette,022S,013E,26,,43.635726,-121.137391,EPSG: 4326,"Locations are at least within a quarter/quarter/quarter of a section or 10 acres of a standard square mile. Locations have not been field checked.  Often, locations directly scribed from a map provided by the permit applicant",2000,610,,vertical,,,,,,,,,,,,,,,,,,,,,,,GP,Deschutes,La PINE,East Lake
83-8,,,GP-094,Union Oil Company,,,Temperature,Abandoned plugged,,West Cascades,OR,Willamette,022S,012E,21,,43.65002,-121.29145,EPSG: 4326,"Locations are at least within a quarter/quarter/quarter of a section or 10 acres of a standard square mile. Locations have not been field checked.  Often, locations directly scribed from a map provided by the permit applicant",2000,610,,vertical,,,,,,,,,,,,,,,,,,,,,,,GP,Deschutes,La PINE,Paulina Peak
83-9,,,GP-094,Union Oil Company,,,Temperature,Abandoned plugged,,West Cascades,OR,Willamette,022S,012E,4,,43.69673,-121.300233,EPSG: 4326,"Locations are at least within a quarter/quarter/quarter of a section or 10 acres of a standard square mile. Locations have not been field checked.  Often, locations directly scribed from a map provided by the permit applicant",2000,610,,vertical,,,,,,,,,,,,,,,,,,,,,,,GP,Deschutes,La PINE,Paulina Peak
GATLEY,,,DESC-1413,,7/29/1992,7/31/1992,Water Well,Unknown,,,OR,Willamette,020S,011E,17,NW SW,43.840403,-121.443862,EPSG: 4326,Location of the well is within a quarter/quarter section or 40 acres of a standard square mile section,64,20,,vertical,,,,,,,,,,76,24,Temperature measured during drawdown with probe or mechanical thermomator,64,20,Drilling Log,,,,,,,,LT,Deschutes,La PINE,Anns Butte
U.S. FOREST SERVICE,,,DESC-7765,,9/16/1961,9/16/1961,Water Well,Unknown,,,OR,Willamette,021S,012E,36,,43.712978,-121.243363,EPSG: 4326,Location of the well is to within one acre,50,15,,vertical,,,,,,,,,,90,32,Temperature measured during drawdown with probe or mechanical thermomator,50,15,Drilling Log,,,,,,,,LT,Deschutes,La PINE,East Lake
U.S. DEPARTMENT OF AGRICULTURE,,,DESC-7777,,9/19/1956,9/21/1956,Water Well,Unknown,,,OR,Willamette,021S,013E,29,SE SE,43.723356,-121.194109,EPSG: 4326,Location of the well is within a quarter/quarter section or 40 acres of a standard square mile section,39,12,,vertical,,,,,,,,,,90,32,Temperature measured during drawdown with probe or mechanical thermomator,39,12,Drilling Log,,,,,,,,LT,Deschutes,La PINE,East Lake
U.S. FOREST SERVICE,,,DESC-7778,,9/13/1983,9/15/1983,Water Well,Unknown,,,OR,Willamette,021S,013E,31,SW SW,43.705646,-121.226731,EPSG: 4326,Location of the well is within a quarter/quarter section or 40 acres of a standard square mile section,100,30,,vertical,,,,,,,,,,74,23,Temperature measured during drawdown with probe or mechanical thermomator,100,30,Drilling Log,,,,,,,,LT,Deschutes,La PINE,East Lake
FRANTZ,,,DESC-9064,,1/3/1994,1/4/1994,Water Well,Unknown,,,OR,Willamette,021S,011E,32,NW SW,43.707776,-121.446856,EPSG: 4326,Location of the well is to within one acre,90,27,,vertical,,,,,,,,,,93,34,Temperature measured during drawdown with probe or mechanical thermomator,90,27,Drilling Log,,,,,,,,LT,Deschutes,La PINE,Finley Butte
Newberry Crater 1,,,GW-017,U.S. Geological Survey,6/1/1977,8/1/1977,"GeothermalEnergy,Temperature",Abandoned plugged,,Newberry Crater,OR,Willamette,021S,013E,15,,43.749888,-121.153129,EPSG: 4326,"Locations are at least within a quarter/quarter/quarter of a section or 10 acres of a standard square mile. Locations have not been field checked.  Often, locations directly scribed from a map provided by the permit applicant",1266,386,,vertical,,,,,,,4,,in,,,,,,,,,,,,,,GW,Deschutes,La PINE,East Lake
Newberry Crater 2 Deepening,,,GW-045,U.S. Geological Survey,9/12/1978,9/18/1981,"GeothermalEnergy,Temperature",Abandoned plugged,10/5/1981,Newberry Crater,OR,Willamette,021S,013E,31,,43.706119,-121.227193,EPSG: 4326,"Locations are at least within a quarter/quarter/quarter of a section or 10 acres of a standard square mile. Locations have not been field checked.  Often, locations directly scribed from a map provided by the permit applicant",3057,932,,vertical,,,,,,,10.75,2.875,in,,,,,,,,,,,,,,GW,Deschutes,La PINE,East Lake
