Well ID,Depth,Temp
NWG 55-29,332.7907898,61.68322223
NWG 55-29,332.9431898,61.68155557
NWG 55-29,333.0955898,61.68116668
NWG 55-29,333.2479898,61.67733334
NWG 55-29,333.4003898,61.6773889
NWG 55-29,333.5527898,61.68127779
NWG 55-29,333.7051898,61.68244446
NWG 55-29,333.8575898,61.67944446
NWG 55-29,334.0099898,61.6798889
NWG 55-29,334.1623898,61.68283334
NWG 55-29,334.3147898,61.68111112
NWG 55-29,334.4671898,61.68233334
NWG 55-29,334.6195898,61.68100001
NWG 55-29,334.7719898,61.67850001
NWG 55-29,334.9243898,61.67811112
NWG 55-29,335.0767898,61.67855557
NWG 55-29,335.2291898,61.67811112
NWG 55-29,335.3815898,61.67605557
NWG 55-29,335.5339898,61.67522223
NWG 55-29,335.6863898,61.6743889
NWG 55-29,335.8387898,61.67650001
NWG 55-29,335.9911898,61.67472223
NWG 55-29,336.1435898,61.67350001
NWG 55-29,336.2959898,61.67566668
NWG 55-29,336.4483898,61.65855557
NWG 55-29,336.6007898,61.66622223
NWG 55-29,336.7531898,61.67305557
NWG 55-29,336.9055898,61.66922223
NWG 55-29,337.0579898,61.67050001
NWG 55-29,337.2103898,61.67094446
NWG 55-29,337.3627898,61.67094446
NWG 55-29,337.5151898,61.6708889
NWG 55-29,337.6675898,61.6708889
NWG 55-29,337.8199898,61.67044446
NWG 55-29,337.9723898,61.66827779
NWG 55-29,338.1247898,61.6673889
NWG 55-29,338.2771898,61.66827779
NWG 55-29,338.4295898,61.67172223
NWG 55-29,338.5819898,61.6678889
NWG 55-29,338.7343898,61.6708889
NWG 55-29,338.8867898,61.66966668
NWG 55-29,339.0391898,61.66966668
NWG 55-29,339.1915898,61.67050001
NWG 55-29,339.3439898,61.67050001
NWG 55-29,339.4963898,61.6708889
NWG 55-29,339.6487898,61.66622223
NWG 55-29,339.8011898,61.6648889
NWG 55-29,339.9535898,61.66405557
NWG 55-29,340.1059898,61.66583334
NWG 55-29,340.2583898,61.66544446
NWG 55-29,340.4107898,61.66416668
NWG 55-29,340.5631898,61.66800001
NWG 55-29,340.7155898,61.66583334
NWG 55-29,340.8679898,61.66577779
NWG 55-29,341.0203898,61.66361112
NWG 55-29,341.1727898,61.66316668
NWG 55-29,341.3251898,61.66355557
NWG 55-29,341.4775898,61.66566668
NWG 55-29,341.6299898,61.66261112
NWG 55-29,341.7823898,61.6613889
NWG 55-29,341.9347898,61.6643889
NWG 55-29,342.0871898,61.66561112
NWG 55-29,342.2395898,61.66561112
NWG 55-29,342.3919898,61.66644446
NWG 55-29,342.5443898,61.67027779
NWG 55-29,342.6967898,61.6693889
NWG 55-29,342.8491898,61.66555557
NWG 55-29,343.0015898,61.66811112
NWG 55-29,343.1539898,61.66555557
NWG 55-29,343.3063898,61.66555557
NWG 55-29,343.4587898,61.66561112
NWG 55-29,343.6111898,61.66644446
NWG 55-29,343.7635898,61.67033334
NWG 55-29,343.9159898,61.67077779
NWG 55-29,344.0683898,61.67205557
NWG 55-29,344.2207898,61.67455557
NWG 55-29,344.3731898,61.67450001
NWG 55-29,344.5255898,61.67877779
NWG 55-29,344.6779898,61.67961112
