WellID,From_m,To_m,Lithology
NWG 55-29,2186.833283,2206.644316,Dacite
NWG 55-29,2206.644316,2215.78787,Dacite
NWG 55-29,2215.78787,2240.17068,Tuff
NWG 55-29,2240.17068,2253.88601,Rhyodacite
NWG 55-29,2253.88601,2261.505639,Tuff
NWG 55-29,2261.505639,2278.26882,Tuff
NWG 55-29,2278.26882,2285.888449,Andesite
NWG 55-29,2285.888449,2307.223407,Dacite
NWG 55-29,2307.223407,2340.749771,Tuff
NWG 55-29,2340.749771,2360.560805,Basaltic Andesite
NWG 55-29,2360.560805,2369.704358,Tuff
NWG 55-29,2369.704358,2391.039317,Tuff
NWG 55-29,2391.039317,2403.230722,Tuff
NWG 55-29,2403.230722,2421.51783,Andesite
NWG 55-29,2421.51783,2436.757086,Dacite
NWG 55-29,2436.757086,2450.472417,Andesite
NWG 55-29,2450.472417,2464.187748,Dacite
NWG 55-29,2464.187748,2482.474855,Andesite
NWG 55-29,2482.474855,2512.953368,Tuff
NWG 55-29,2512.953368,2526.668699,Felsic Dike
NWG 55-29,2526.668699,2544.955806,Basalt
NWG 55-29,2544.955806,2555.623286,Andesite
NWG 55-29,2555.623286,2563.242914,Felsic Dike
NWG 55-29,2563.242914,2583.053947,Basaltic Andesite
NWG 55-29,2583.053947,2602.86498,Felsic Dike
NWG 55-29,2602.86498,2604.388906,Felsic Dike
NWG 55-29,2604.388906,2633.343493,Basalt
NWG 55-29,2633.343493,2654.678452,Granodiorite
NWG 55-29,2654.678452,2666.869857,Granodiorite
NWG 55-29,2666.869857,2703.444072,Granodiorite
NWG 55-29,2703.444072,2726.302956,Basalt
NWG 55-29,2726.302956,2735.44651,Felsic Intrusive
NWG 55-29,2735.44651,2752.209692,Basaltic Andesite
NWG 55-29,2752.209692,2764.401097,Felsic Intrusive
NWG 55-29,2764.401097,2773.544651,Felsic Intrusive
NWG 55-29,2773.544651,2805.547089,Granodiorite
NWG 55-29,2805.547089,2814.690643,Basalt
NWG 55-29,2814.690643,2822.310271,Basalt
NWG 55-29,2822.310271,2839.073453,Granodiorite
NWG 55-29,2839.073453,2868.02804,Granodiorite
NWG 55-29,2868.02804,2880.219445,Basalt
NWG 55-29,2880.219445,2890.886925,Basalt
NWG 55-29,2890.886925,2906.126181,Granodiorite
NWG 55-29,2906.126181,2928.985066,Basalt
NWG 55-29,2928.985066,2938.128619,Basalt
NWG 55-29,2938.128619,2954.891801,Basalt
NWG 55-29,2954.891801,2968.607132,Felsic Dike
NWG 55-29,2968.607132,2980.798537,Basalt
NWG 55-29,2980.798537,3005.181347,Basalt
NWG 55-29,3005.181347,3021.944529,Basalt
NWG 55-29,3021.944529,3044.803414,Basalt
NWG 55-29,3044.803414,3060.04267,Felsic Dike
NWG 55-29,3060.04267,3066.138372,Granodiorite
